"nombre","titulo_comentario","contenido_comentario"
"Leon Mozzarella Bar","DECEPCIONADO","mi cuñado me habia recomendado La toscana por la pizza y en un paseo con nuestra familia de Pamplona los llevamos y nos parecio demasiado normal, mientras estabamos mi hermana me hablo de leon mozzarela que lo vio en Tulio Recomienda y nos decidimos ir,...no si es que no fue nuestro dia para la mala comida o que, pero no me gusto como nos sirvieron los platos, solo comimos entradas ya que esperabamos para ir al cerro de monserrate, feos y hasta desaliñados, sin sabor  y como a las patadas, quede mal con mi hermana en Toscanas y decepcionado en Leon y todo en el mismo dia, mi sobrino me dijo que mejor nos hubises comido una mazorcada.Más"
"69 Gauchos Bar & Grill","Pésimo servicio","Mi problema no fue con la comida, fue con las persona que nos atendió, fue muy despectivo, nos sentimos despreciados por que llegamos vestidos muy casual, mis amigos y yo sentimos que el camarero se dejo llevar por como ibamos vestinos. Horrible la actitud del...Más"
"restaurante mirador la paloma","No pierdan su tiempo ni su dinero","Pésimo pésimo! Las instalaciones y la infraestructura del restaurante nada que ver, los baños ni hablar... La carta con pocas opciones, costosa y lo que ves en la foto nada que ver con lo que te sirven, ¡no hay carta de bebidas! Es decir no...Más"
"Kfc","Servicio a domicilio Kfc","KFC VIVA TUNJA.  # Orden KFCCO977509550.
Totalmente decepcionante. El pedido se recibe con faltante, se llama, se demoran infinitamente; se recibe el faltante y a este le hace falta más elementos. Se llama nuevamente y no les importa nada. Resumen, se han pasado 5 horas...y no se logró solución. PESIMO SERVICIO DAN VERGUENZA.Más"
"Castanyoles","DECEPCIONANTE","Tuve la peor experiencia con este restaurante. Llamé ayer en la mañana (tipo 10:00am) para hacer una reservación con motivo de mi primer aniversario de casado.
Deseaba reservar una mesa al lado de la chimenea, la cual fué aprobada (supuestamente). A las 3:45pm recibo una...Más"
"Kfc","Desastrozo","Estuvimos en el kfc del tesoro en medellin pero el servicio se volvio pesimo, habian 5 empleados conversando entre ellos y riendose , la comida maluca y demorada , no se que paso ya que he sido cliente habitual desde que este llego a medellin,...Más"
"Ko Asian Kitchen","La peor experiencia en servicio que he encontrado en mucho tiempo","En una frase, no pude almorzar con mi familia, porque el restaurante quiere manejar los clientes a su antojo e ignora las preferencias de los comensales. Si quiere conocer los detalles, siga leyendo por favor. Cero orientacion al servicio y al cliente, se jactan de...Más"
"El Sol de Napoles Trattoria","Acabaron con el Restaurante","Durante muchos anos fuimos clientes del Sol de Napoles, tras su cambio de direccion decidimos un dia ir al nuevo local. Como decirlo? La ubicacion, el ambiente, las porciones, la calidad de la comida y el precio son ahora terribles. Paso de ser un gran...restaurante a un comedero de Quinta con precios absurdos. Que lastima por su antigua lasagna, era la mejor de Bogota, hasta el pan paso de cinco estrellas a un desastre. No creo que vaya a sobrevivir..........Más"
"Il Filetto","Malisimo, pesimo servicio","Que mal restaurante, me sirven lo que no pido, pesima pasta, la entrada decente. Me quejé del servicio y les importó cinco. No entiendo como la gente lo recomienda es malisimo"
"Casa Santa Clara","Muy malo","Los platos desabridos, el servicio bastante regular, el ambiente nada que ver, deberían poner calefactores ya que el entorno es muy frio. Ninguna medida de bio seguridad, no piden carnet de vacunación, no hay desinfección de mesas después de cada uso, utilizan menú impreso. Los...precios aceptables. No se recomienda.Más"
"Donostia","Pésima comida","Pedí unas costillas no le cabía un gramo mas de grasa puso cebo, cuando hice el reclamo el chef me dijo son así cuando pedí un plato de más de 50 mil pesos, me enferme no pude comer y fue carísimo no volvería nunca. La...Más"
"Jungla Kumba","la peor experiencia","El 26 de Dic 2015, estuve en el de Fontanar Chia, fui con tres amigas llegamos a las dos de la tarde, no estaba lleno pedimos un ajiaco, unas pastas marineras y unas limonadas;nos dijeron q entre 20 y 30 minutos se demoraba en salir...Más"
"El Corral Gourmet","PESIMA ATENCION EN ATLANTIS","Estuve ayer 27 abril en la noche, me ubicaron en una mesa pegada a una columna casi salida del corral y se demoraron en atendernos, nos dejaron la comida y no volvieron a pasar, queriamos tomar un tinto y no se pudo finalmente cuando logramos...Más"
"La Chorizeria","Para no volver","Había escuchado buenos comentarios del lugar, sin embargo al visitarlo nos llevamos una muy desagradable experiencia, primero los tiempos para los pedidos son demasiados extensos se demoraron 1 hora en entregar el pedido, segundo tenían un desorden con los pedidos que no sabían que se...había ordenado en cada mesa, tercero nos sirvieron un chorizo crudo y al hacer el reclamo lo llevaron a la cocina y lo volvieron a servir sin prepararlo bien, cuarto la actitud de los meseros no es la mejor.

Lo único que recomiendo es la aguapanela con queso.Más"
"WOK","Pésimo","Pésimo, llegamos a las 12 para no hacer cola pero nos tocó esperar 50 minutos para recibir sushi de los niños y Más para la comida de los adultos y estaba helada...."
"Salto del Angel","Excelente comida, pésimo DJ, nos fuimos a las 9pm decepcionados. Ya no es un sitio de rumba?","Muy mal DJ, aunque retroalimentamos unas 5 veces a El mismo y a otros empleados el resultado final fue irnos a la competencia a disfrutar de una verdadera rumba, qué pesar!"
"Osaki 118","Pésima atención","Es una lástima, pues el sabor de este restaurante es bueno, sin embargo es en este mismo desde donde se despachan los domicilios por lo que la atención a las mesas está bastante, BASTANTE distante.  Entonces les toca hacer algo: o tienen un buen restaurante...Más"
"7 16","Cena","La verdad no se que busca la gente en Bogotá. El servicio fue malo, la comida estándar y el precio/calidad no se correlaciona"
"Bourbon Bistro","Evítalo si puedes. Servicio Amateur, mala comida, en general nunca volveré otra vez","Fuimos el viernes por la noche para una cena romántica. Nos dieron una mesa al lado de una celebración de cumpleaños ... Tuvimos que pedir más de 9 vinos antes tenían uno nos gustó, tomó más de 20 minutos para llegar el menú, luces no...funcionaban o desaparecidos. Cuando finalmente llegamos la comida era tan malo que volví y me cobraron por que aún así ... Caro, ya que los mejores restaurantes de la zona ... Decidimos pasar un buen tiempo y nunca volvería podría seguir, pero creo que te la idea ...Más"
"Shamua","Decepcionado","La comida es demasiado normal y el precio es muy alto para un par de salchichas con papa, una falta de respeto"
"Pescadería El Velero","Que engaño","Te ofrecen pargo rojo y te dan saltón que es otro tipo de pescado que se consigue a mitad precio y de poca calidad. Al decirle a la mesera que no lo ofreciera como pargo argumenta que hay varios tipos de pargo!!!ahhh peor aún."
"Selina Bogota La Candelaria - Restaurante","Mal servicio!","Me quedaron muy mal con la reservación, la comida es pésima y los precios son muy costosos. Muy mala atención y servicio al cliente"
"Habana 93","Mal servicio, comida mal preparada, los platos no contienen lo que indica el menú.","Anoche fuimos a celebrar un cumpleaños al restaurante Habana 93 y la atención fue fatal, los meseros no nos ofrecieron la carta, con la comida nos fue muy mal, mi suegra pidió un codillo de cerdo y a los 20 minutos el mesero le informó...Más"
"Cerveceria Irlandesa","Pésimo servicio","Después de una hora de espera por la orden resultan diciendo que el cocinero se equivocó y no prepararon lo solicitado ni sirvieron nada. Lo peor es q tratan de entregarnos el plato de la mesa de al lado sin ser lo ordenado"
"Salto del Angel","Por favor no vayan! Que fracaso","De verdad que fracaso! Acudimos y en la entrada cuando nos dan la bienvenida sólo nos dicen que hay que pagar un cover.,  sin explicar más nada ya que íbamos solo mi esposo y yo ( yo embarazada) con intenciones de cenar. Mi esposo le...Más"
"Cuzco","Comida peruana? nada que ver!!!","De comida peruana sólo tiene el nombre del restaurante, el lomo saltado sabe acido y sirvan las papas con cáscara!!! un insulto a la verdadera comida peruana"
"Prudencia","Dos horas de espera para nada","Llegamos al restaurante sin reserva. Nos dijeron que había una hora de espera y aceptamos. Dos horas después nos colocaron en una mesa frente al horno donde el cocinero apoyaba las sartenes. Cuando nos trajeron el menú, ya era tarde y la mitad de los...Más"
"Lima Canton","una total estafa y dicen preparar comida peruana","hace un par de meses fui a almorzar, ya que muchos amigos colombianos decían que era bueno, pero la verdad es una completa estafa y lo digo con conocimiento por que soy peruano,  puedo entender que tal vez tengan falta de ingredientes pero no engañen...a las personas,  dentro del menu decía sopa wantan pero imagínense cantan frito en medio de la sopa eso jamas se sirve así, el lomo saltado desabrido una completa decepción ni mas vuelvo a ir y el arroz chaufa mas parecía arroz chafa  nada que ver con la comida peruana, el chef se acerco al ver mi incomodidad y le explique que la comida no es así a lo que trato de decirme que esa es la verdadera comida peruana pero cuando le dije yo soy de perú  no sabia donde meterse la lengua  y la cara de vergüenza , sinceramente no lo recomiendo lo único bueno la inca kolaMás"
"restaurante mirador la paloma","Mala experiencia","Todo el menú es muy costoso y muy mala calidad, además publicidad engañosa no hay telescopios y el servicio pésimo."
"Bridados Bogotá","Pesimo servicio","Fuimos a comer a este restaurante porque me lo habían recomendado, la comida es aceptable, pero el servicio es el peor servicio que nunca antes haya visto en un restaurante.

Empezando se demoraron aproximadamente 15 minutos en traernos la carta, una vez nos tomaron la...Más"
"Abasto","Pésimo servicio","Terrible servicio, totalmente desordenado, más de 15 minutos esperando nadie nos atendió, adicional groseros"
"Casa Brava","NO PAGUEN POR DECORACIÓN ES UN ROBO !","Celebramos un cumpleaños de un familiar en el restaurante y pagué $60.000 por decoración y cuando llegamos habían 3 bombas ya desgastadas donde se notaba perfectamente que era reutilizado , una total desepción ,realmente me pareció un robo.

Finalmente salimos del restaurante y nos cobraron...Más"
"Itanos","Maltrato del mesero","Como clientes frecuentes, llegamos a la mesa de siempre pero al estar ocupada nos sentamos en otra mesa disponible q no tenía ningún aviso de reservado y de allí el mesero nos indico que estaba reservada y que  teníamos que esperár  en otro lugar ."
"Buffet King Bogota San Martin","Patética la atención si tienen ganas de irse a su casa los empleados","Es un lugar que frecuento, me gusta la comida, a pesar de no ser la mejor comida japonesa y china, para ser Colombia no está mal, nunca había tenido inconvenientes pero es una lastima ir un sábado a las 5:00pm y que hayan más de...Más"
"Hatsuhana","Vi como le salió un gusano en una entrada a la mesa de al lado","Me parece un pésimo restaurante! es carisimo y las instalaciones son viejas no invierten en nada del local, y el sitio siempre tiene moscas. No entiendo como cobran tanto para un lugar tan feo. Desde el episodio de la mesa de al lado con el...Más"
"Restaurante Daniel","Rechazaron clientes a las 9 pm un sabado","Se negaron a servirnos un sabado a las 9 pm porque los empleados querian cerrar mas temprano.

Yo que voy muy seguido a este restaurante me parece increible este trato.

Ultima vez que voy a este restaurante."
"Brangus Steak","Mal servicio y caro!","Muy mal servicio de parte de los meseros, no tenian surtido de bebidas y los platos fuertes muy costosos y mal sabor"
"Chibchombia","Terrible el servicio","Hace ya un buen tiempo empezamos a visitar este lugar y nos gustaba por su concepto de colombianidad. Hoy volvimos en familia y nos fue terrible. Se tardaron más de 45 minutos para decirnos que el pedido no estaba y que lo cambiaramos.

Aún así...Más"
"LA BIFERIA CALLE 79","Maa experiencia almuerzo el jueves 12/17","Se solicito unas costillitas las cuales no ameritan el costo se informo al mesero quien indica que manejan el mismo corte por lo tanto no hacen adiciona la plato, la limontada todo el dulce al final y el jugo de mandarina le agregan agua entonces...Más"
